# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	17463
#@/user_id	51e25a0a-ac6c-40dd-89cd-561e9e93526d
bu hui 	不回	c=1 d=2.33234e-22 t=17463
bu hui ba 	不会吧	c=2 d=5.51274e-22 t=17463
bu hui de 	不会的	c=2 d=0.427415 t=17463
bu hui la 	不会啦	c=1 d=4.89775e-15 t=17463
bu hui qu 	不会去	c=2 d=6.90855e-10 t=17463
bu hui qu 	不回去	c=2 d=0.0526021 t=17463
bu hui qu le 	不回去了	c=2 d=0.00798652 t=17463
bu hui shi 	不会是	c=2 d=8.76723e-12 t=17463
bu hui ye qu 	不会也去	c=1 d=0.000198445 t=17463
bu hui you 	不会有	c=0 d=0.0379083 t=17463
bu hui you de 	不会有的	c=1 d=0.380983 t=17463
bu ji 	不急	c=2 d=1.39504e-05 t=17463
bu ji wu duan 	不机务段	c=1 d=0.970446 t=17463
bu jia 	不加	c=1 d=8.31387e-05 t=17463
bu jian 	不见	c=2 d=5.13208e-06 t=17463
bu jian 	部件	c=1 d=2.88137e-09 t=17463
bu jian rong 	不兼容	c=1 d=3.7029e-19 t=17463
bu jiang 	不讲	c=0 d=0.1 t=15082
bu jiang wu de 	不讲伍德	c=2 d=1.98511 t=15086
bu jiao 	补觉	c=1 d=1.12631e-17 t=17463
bu jie yi 	不介意	c=0 d=0.1 t=15227
bu jiu 	不久	c=1 d=0.847894 t=17463
bu ju 	布局	c=4 d=9.88601e-11 t=17463
bu ju er chong tian 	布局二重天	c=1 d=2.29527e-10 t=17463
bu ka 	不卡	c=1 d=1.00395e-17 t=17463
bu kai xin 	不开心	c=1 d=2.73609e-18 t=17463
bu kan 	不看	c=1 d=5.6493e-18 t=17463
bu kao lv 	不考虑	c=1 d=1.49696e-11 t=17463
bu ke 	不可	c=2 d=0.0141931 t=17463
bu ke neng 	不可能	c=3 d=2.99071e-06 t=17463
bu ke yi 	不可以	c=1 d=1.20757e-13 t=17463
bu kun 	不困	c=2 d=0.839457 t=17463
