# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3184
#@/user_id	30b2fdae-cf15-49c1-b454-51f04700fdbe
guan fang 	官方	c=1 d=0.0156858 t=3184
guan li 	管理	c=3 d=0.528749 t=3184
guan li xin xi 	管理信息	c=2 d=5.87723e-05 t=3184
guan lian 	關聯	c=1 d=0.00637736 t=3184
guan wang 	官網	c=1 d=1.13646e-05 t=3184
guan xi 	關係	c=1 d=0.00440507 t=3184
guang biao 	光標	c=2 d=0.79507 t=3184
guang dong 	廣東	c=1 d=5.44942e-06 t=3184
guang zhou 	廣州	c=1 d=2.85173e-05 t=3184
gui fan 	規範	c=0 d=2.02978e-06 t=3184
guo 	過	c=0 d=1.85988e-07 t=3184
guo ji hua 	國際化	c=1 d=0.444858 t=3184
guo lv 	過濾	c=1 d=0.049787 t=3184
guo nei 	國內	c=2 d=1.46302e-05 t=3184
guo nian 	過年	c=1 d=0.000127805 t=3184
ha er bin 	哈爾濱	c=2 d=0.000853597 t=3184
ha ha ha 	哈哈哈	c=4 d=0.000161446 t=3184
hai wai 	海外	c=1 d=0.0773047 t=3184
han hua 	漢化	c=1 d=6.63876e-05 t=3184
han shu 	函數	c=1 d=0.0953692 t=3184
han yu 	漢語	c=2 d=0.000370888 t=3184
han zi 	漢字	c=5 d=0.0675661 t=3184
han zi qin 	漢字親	c=1 d=0.000508015 t=3184
hang 	行	c=2 d=0.00392179 t=3184
hang hao 	行號	c=12 d=4.18883 t=3184
hang zhou 	杭州	c=1 d=5.58738e-06 t=3184
hao 	好	c=4 d=0.320963 t=3184
hao 	號	c=5 d=0.822003 t=3184
hao ba 	好吧	c=2 d=0.00839919 t=3184
hao de 	好的	c=8 d=0.967427 t=3184
hao duo 	好多	c=0 d=4.48322e-05 t=3184
hao duo le 	好多了	c=1 d=0.000450569 t=3184
hao hang 	號行	c=2 d=1.05511 t=3184
hao hao de 	好好的	c=1 d=0.0127783 t=3184
hao ji ge 	好幾個	c=1 d=0.00260584 t=3184
hao kun 	好睏	c=0 d=1.58489e-07 t=3184
hao le 	好了	c=8 d=0.905087 t=3184
hao xiang 	好像	c=2 d=0.381688 t=3184
hao zhou shi 	毫州市	c=1 d=0.000332125 t=3184
he 	合	c=1 d=0.722527 t=3184
he 	和	c=2 d=0.715522 t=3184
he 	喝	c=0 d=3.22364e-07 t=3184
he 	鶴	c=0 d=0.0694197 t=3184
he bao 	荷包	c=2 d=0.121162 t=3184
he bing 	合併	c=1 d=0.782705 t=3184
he qi lai 	合起來	c=2 d=1.50039 t=3184
he tun 	河豚	c=1 d=0.00029902 t=3184
hei yu 	黑魚	c=1 d=0.000296045 t=3184
hen 	狠	c=2 d=0.0565968 t=3184
